YYYY,MM,DD,EXCH,COMMODITY,TICKER,FILESIZE,VOLUME,OPENINT,TIMESTAMP,LASTPRICE
2013,01,04,SHFE,AG,AG1301,195010,6004.0,27524.0,15:00:00.500,5977.0
2013,01,04,SHFE,AG,AG1302,331564,1196.0,4828.0,15:00:00.500,6030.0
2013,01,04,SHFE,AG,AG1303,190523,444.0,3642.0,15:00:00.500,6086.0
2013,01,04,SHFE,AG,AG1304,185312,22.0,336.0,15:00:00.500,6137.0
2013,01,04,SHFE,AG,AG1305,264985,1002.0,2178.0,15:00:00.500,6182.0
2013,01,04,SHFE,AG,AG1306,1511416,258306.0,214758.0,15:00:00.500,6226.0
2013,01,04,SHFE,AG,AG1307,201790,150.0,114.0,15:00:00.500,6280.0
2013,01,04,SHFE,AG,AG1308,180920,26.0,130.0,15:00:00.500,6303.0
2013,01,04,SHFE,AG,AG1309,120069,126.0,702.0,15:00:00.500,6338.0
2013,01,04,SHFE,AG,AG1310,211369,4.0,72.0,15:00:00.500,6401.0
2013,01,04,SHFE,AG,AG1311,283294,8.0,72.0,14:59:55.0,6400.0
2013,01,04,SHFE,AG,AG1312,179687,116.0,834.0,15:00:00.500,6430.0
2013,01,07,SHFE,AG,AG1301,253611,5784.0,25340.0,15:00:00.500,6132.0
2013,01,07,SHFE,AG,AG1302,388365,1662.0,5160.0,15:00:00.500,6190.0
2013,01,07,SHFE,AG,AG1303,222243,344.0,3678.0,15:00:00.500,6240.0
2013,01,07,SHFE,AG,AG1304,243671,276.0,426.0,15:00:00.500,6303.0
2013,01,07,SHFE,AG,AG1305,346044,1808.0,2058.0,15:00:00.500,6338.0
2013,01,07,SHFE,AG,AG1306,1568163,288146.0,206106.0,15:00:00.500,6392.0
2013,01,07,SHFE,AG,AG1307,262285,52.0,124.0,15:00:00.500,6435.0
2013,01,07,SHFE,AG,AG1308,249372,10.0,128.0,15:00:00.500,6488.0
2013,01,07,SHFE,AG,AG1309,154813,92.0,674.0,15:00:00.500,6485.0
2013,01,07,SHFE,AG,AG1310,222984,22.0,80.0,15:00:00.500,6523.0
2013,01,07,SHFE,AG,AG1311,231128,2.0,74.0,15:00:00.500,6548.0
2013,01,07,SHFE,AG,AG1312,217329,132.0,892.0,15:00:00.500,6593.0
2013,01,08,SHFE,AG,AG1301,215699,4496.0,23440.0,15:00:00.500,6126.0
2013,01,08,SHFE,AG,AG1302,366441,1194.0,5416.0,15:00:00.500,6166.0
2013,01,08,SHFE,AG,AG1303,225276,128.0,3730.0,15:00:00.500,6212.0
2013,01,08,SHFE,AG,AG1304,209832,132.0,392.0,15:00:00.500,6294.0
2013,01,08,SHFE,AG,AG1305,301315,954.0,2082.0,15:00:00.500,6318.0
2013,01,08,SHFE,AG,AG1306,1470503,195804.0,207996.0,15:00:00.500,6371.0
2013,01,08,SHFE,AG,AG1307,175400,136.0,158.0,15:00:00.500,6410.0
2013,01,08,SHFE,AG,AG1308,202494,4.0,132.0,15:00:00.500,6460.0
2013,01,08,SHFE,AG,AG1309,138650,52.0,680.0,15:00:00.500,6469.0
2013,01,08,SHFE,AG,AG1310,171175,0.0,80.0,15:00:00.500,6523.0
2013,01,08,SHFE,AG,AG1311,204970,0.0,74.0,14:59:55.0,6548.0
2013,01,08,SHFE,AG,AG1312,163246,78.0,930.0,15:00:00.500,6560.0
2013,01,09,SHFE,AG,AG1301,143558,6024.0,21800.0,15:00:00.500,6178.0
2013,01,09,SHFE,AG,AG1302,236895,1944.0,6006.0,15:00:00.500,6221.0
2013,01,09,SHFE,AG,AG1303,169703,114.0,3718.0,15:00:00.500,6272.0
2013,01,09,SHFE,AG,AG1304,115911,40.0,376.0,15:00:00.500,6324.0
2013,01,09,SHFE,AG,AG1305,216677,546.0,1924.0,15:00:00.500,6374.0
2013,01,09,SHFE,AG,AG1306,1391804,174856.0,204540.0,15:00:00.500,6429.0
2013,01,09,SHFE,AG,AG1307,150119,26.0,168.0,15:00:00.500,6461.0
2013,01,09,SHFE,AG,AG1308,154139,0.0,132.0,15:00:00.500,6460.0
2013,01,09,SHFE,AG,AG1309,79641,84.0,716.0,15:00:00.500,6530.0
2013,01,09,SHFE,AG,AG1310,106765,4.0,80.0,15:00:00.500,6551.0
2013,01,09,SHFE,AG,AG1311,147401,0.0,74.0,15:00:00.500,6533.0
2013,01,09,SHFE,AG,AG1312,136081,104.0,964.0,15:00:00.500,6625.0
2013,01,10,SHFE,AG,AG1301,119531,3448.0,20564.0,15:00:00.500,6171.0
2013,01,10,SHFE,AG,AG1302,249619,970.0,6088.0,15:00:00.500,6227.0
2013,01,10,SHFE,AG,AG1303,169609,470.0,3990.0,15:00:00.500,6273.0
2013,01,10,SHFE,AG,AG1304,165998,0.0,376.0,15:00:00.500,6324.0
2013,01,10,SHFE,AG,AG1305,209224,414.0,1978.0,15:00:00.500,6380.0
2013,01,10,SHFE,AG,AG1306,1315994,142480.0,206606.0,15:00:00.500,6425.0
2013,01,10,SHFE,AG,AG1307,148243,4.0,168.0,15:00:00.500,6437.0
2013,01,10,SHFE,AG,AG1308,170460,0.0,132.0,15:00:00.500,6460.0
2013,01,10,SHFE,AG,AG1309,84066,4.0,716.0,15:00:00.500,6513.0
2013,01,10,SHFE,AG,AG1310,120387,4.0,76.0,15:00:00.500,6538.0
2013,01,10,SHFE,AG,AG1311,112648,2.0,74.0,15:00:00.500,6568.0
2013,01,10,SHFE,AG,AG1312,183076,78.0,1018.0,15:00:00.500,6614.0
2013,01,11,SHFE,AG,AG1301,104188,2132.0,19496.0,15:00:00.500,6225.0
2013,01,11,SHFE,AG,AG1302,338722,2106.0,6290.0,15:00:00.500,6268.0
2013,01,11,SHFE,AG,AG1303,268362,314.0,4012.0,15:00:00.500,6322.0
2013,01,11,SHFE,AG,AG1304,178654,146.0,366.0,15:00:00.500,6375.0
2013,01,11,SHFE,AG,AG1305,260411,924.0,1864.0,15:00:00.500,6419.0
2013,01,11,SHFE,AG,AG1306,1436984,208212.0,207524.0,15:00:00.500,6469.0
2013,01,11,SHFE,AG,AG1307,133697,24.0,168.0,15:00:00.500,6542.0
2013,01,11,SHFE,AG,AG1308,182293,10.0,128.0,15:00:00.500,6556.0
2013,01,11,SHFE,AG,AG1309,137902,108.0,726.0,15:00:00.500,6575.0
2013,01,11,SHFE,AG,AG1310,179191,6.0,76.0,15:00:00.500,6625.0
2013,01,11,SHFE,AG,AG1311,116737,2.0,76.0,15:00:00.500,6660.0
2013,01,11,SHFE,AG,AG1312,203593,116.0,1084.0,15:00:00.500,6666.0
2013,01,14,SHFE,AG,AG1301,94301,1900.0,18796.0,15:00:00.500,6240.0
2013,01,14,SHFE,AG,AG1302,293833,1294.0,6698.0,15:00:00.500,6280.0
2013,01,14,SHFE,AG,AG1303,202030,134.0,4046.0,15:00:00.500,6334.0
2013,01,14,SHFE,AG,AG1304,181720,46.0,388.0,15:00:00.500,6390.0
2013,01,14,SHFE,AG,AG1305,268724,730.0,1930.0,15:00:00.500,6439.0
2013,01,14,SHFE,AG,AG1306,1362772,173020.0,219970.0,15:00:00.500,6479.0
2013,01,14,SHFE,AG,AG1307,199238,20.0,166.0,15:00:00.500,6518.0
2013,01,14,SHFE,AG,AG1308,171924,16.0,134.0,15:00:00.500,6542.0
2013,01,14,SHFE,AG,AG1309,110610,56.0,750.0,15:00:00.500,6588.0
2013,01,14,SHFE,AG,AG1310,144608,0.0,76.0,15:00:00.500,6625.0
2013,01,14,SHFE,AG,AG1311,163730,6.0,76.0,15:00:00.500,6617.0
2013,01,14,SHFE,AG,AG1312,142597,218.0,1120.0,15:00:00.500,6680.0
2013,01,15,SHFE,AG,AG1301,69663,1312.0,19028.0,15:00:00.500,6300.0
2013,01,15,SHFE,AG,AG1302,356321,1636.0,6928.0,15:00:00.500,6356.0
2013,01,15,SHFE,AG,AG1303,300561,250.0,4028.0,15:00:00.500,6411.0
2013,01,15,SHFE,AG,AG1304,234614,26.0,388.0,15:00:00.500,6480.0
2013,01,15,SHFE,AG,AG1305,300563,606.0,1786.0,15:00:00.500,6495.0
2013,01,15,SHFE,AG,AG1306,1533227,264790.0,222448.0,15:00:00.500,6545.0
2013,01,15,SHFE,AG,AG1307,131127,20.0,172.0,15:00:00.500,6600.0
2013,01,15,SHFE,AG,AG1308,216142,14.0,132.0,15:00:00.500,6621.0
2013,01,15,SHFE,AG,AG1309,132309,32.0,752.0,15:00:00.500,6653.0
2013,01,15,SHFE,AG,AG1310,173841,2.0,76.0,15:00:00.500,6699.0
2013,01,15,SHFE,AG,AG1311,201487,0.0,76.0,15:00:00.500,6617.0
2013,01,15,SHFE,AG,AG1312,202784,160.0,1138.0,15:00:00.500,6746.0
2013,01,16,SHFE,AG,AG1302,257923,1310.0,6980.0,15:00:00.500,6390.0
